ROP,Depth,WOB,SPP,RPM,MW,Temperature,Q,Bit diameter,ECD,Formation pressure gradient,Porosity,FV,Solid content,FL
0.59,10,24.1,0.8,31,1.07,27,1.372,444.5,1.08,1.02,1.48,73,0.2,6
7.77,11,30.4,0.8,31,1.07,27,1.372,444.5,1.08,1.02,1.48,73,0.2,6
7.77,12,31,0.8,32,1.07,27,1.379,444.5,1.08,1.02,1.47,73,0.2,6
0.85,13,24.3,0.8,32,1.06,29,2.634,444.5,1,1.02,1,73,0.2,6
1.1,14,21.8,0.8,32,1.06,28,2.796,444.5,1.08,1.02,1.47,73,0.2,6
1.26,15,19.6,0.9,32,1.06,28,2.802,444.5,1.08,1.02,1.47,73,0.2,6
1.56,16,28.9,0.9,32,1.07,28,2.802,444.5,1.08,1.02,1.47,73,0.2,6
1.63,17,18.3,0.9,32,1.09,28,2.792,444.5,1.08,1.02,1.47,73,0.2,6
2.61,18,37.2,0.8,32,1.08,27,2.799,444.5,1.09,1.02,1.54,73,0.2,6
2.03,19,26.2,0.9,32,1.07,27,2.79,444.5,1.09,1.02,1.54,73,0.2,6
1.92,20,34.9,0.8,32,1.08,27,2.802,444.5,1.09,1.02,1.54,73,0.2,6
2.05,21,25.8,0.9,32,1.08,27,2.802,444.5,1.09,1.02,1.54,73,0.2,6
3.19,22,33.6,0.9,32,1.08,27,2.788,444.5,1.09,1.02,1.54,73,0.2,6
3.09,23,28.9,0.9,32,1.08,26,2.801,444.5,1.09,1.02,1.54,73,0.2,6
3.32,24,22.2,1.1,32,1.07,26,2.8,444.5,1.09,1.02,1.54,73,0.2,6
4.23,25,26.3,0.9,32,1.07,26,2.807,444.5,1.08,1.02,1.47,73,0.2,6
7.2,26,24.9,1,32,1.07,26,2.803,444.5,1.08,1.02,1.47,73,0.2,6
5.65,27,30.7,1,32,1.07,26,2.801,444.5,1.08,1.02,1.47,73,0.2,6
7.48,28,23.7,1,32,1.06,26,2.805,444.5,1,1.02,2.42,73,0.2,6
5.62,29,27.4,1,32,1.06,26,2.798,444.5,1.08,1.02,1.47,73,0.2,6
4.57,30,16.3,0.8,32,1.06,26,2.807,444.5,1.08,1.02,1.47,73,0.2,6
7.66,31,15.7,0.8,31,1.07,26,2.806,444.5,1.08,1.02,1.47,73,0.2,6
7.66,32,48.1,0.9,31,1.09,26,2.708,444.5,1.08,1.02,1.47,73,0.2,6
2.52,33,31.6,0.9,31,1.08,26,2.709,444.5,1.09,1.02,1.54,73,0.2,6
3.99,34,53.9,0.9,31,1.07,26,2.708,444.5,1.09,1.02,1.54,73,0.2,6
2.64,35,41.4,1,31,1.08,26,2.717,444.5,1.09,1.02,1.53,73,0.2,6
4.41,36,49.1,1,31,1.08,26,2.72,444.5,1.09,1.02,1.53,73,0.2,6
2.48,37,24.4,1,31,1.08,26,2.725,444.5,1.09,1.02,1.53,73,0.2,6
0.99,38,18.7,0.9,31,1.08,26,2.727,444.5,1.09,1.02,1.53,73,0.2,6
2.78,39,26.2,0.9,31,1.07,26,2.719,444.5,1.09,1.02,1.53,73,0.2,6
2.7,40,16.6,6.1,30,1.07,26,2.711,444.5,1.08,1.02,1.46,73,0.2,6
4.23,41,48.5,5.9,30,1.07,26,2.663,444.5,1.08,1.02,1.46,73,0.2,6
5.53,42,52,6.4,31,1.07,26,2.664,444.5,1.08,1.02,1.46,73,0.2,6
3.13,43,33.2,6.2,31,1.06,27,2.682,444.5,1,1.02,2.42,73,0.2,6
2.35,44,31.3,6.4,31,1.06,28,2.681,444.5,1.08,1.02,1.46,73,0.2,6
2.61,45,19.7,6.6,31,1.06,28,2.683,444.5,1.08,1.02,1.46,73,0.2,6
2.37,46,24.5,6.2,31,1.07,29,2.688,444.5,1.08,1.02,1.46,73,0.2,6
2.86,47,17,6.4,31,1.09,30,2.684,444.5,1.08,1.02,1.45,73,0.2,6
3.31,48,29.3,6.2,31,1.08,30,2.688,444.5,1.09,1.02,1.52,73,0.2,6
4.26,49,21.6,1.7,31,1.07,30,2.678,444.5,1.09,1.02,1.52,73,0.2,6
4.97,50,69.8,1.8,31,1.08,31,2.735,444.5,1.09,1.02,1.52,73,0.2,6
9.55,51,84,1.7,31,1.08,31,2.725,444.5,1.09,1.02,1.52,73,0.2,6
1.58,52,42.4,1.9,31,1.08,30,2.736,444.5,1.09,1.02,1.52,73,0.2,6
1.45,53,51.8,1.8,31,1.08,30,2.731,444.5,1.09,1.02,1.52,73,0.2,6
1.76,54,30.2,1.8,31,1.07,30,2.735,444.5,1.09,1.02,1.52,73,0.2,6
1.81,55,46.8,1.8,31,1.07,29,2.742,444.5,1.08,1.02,1.45,73,0.2,6
1.63,56,35.7,1.6,31,1.07,29,2.729,444.5,1.08,1.02,1.45,73,0.2,6
3.13,57,70.3,1.6,31,1.07,29,2.727,444.5,1.08,1.02,1.45,73,0.2,6
2.4,58,82.8,1.6,31,1.06,28,2.737,444.5,1,1.02,2.42,73,0.2,6
3.03,59,38.7,2,31,1.06,28,2.736,444.5,1.08,1.02,1.44,73,0.2,6
2.52,60,29.8,2,31,1.06,28,2.719,444.5,1.08,1.02,1.44,73,0.2,6
3.44,61,29.2,2,31,1.07,28,2.732,444.5,1.08,1.02,1.44,73,0.2,6
4.1,62,24.5,1.9,31,1.09,28,2.732,444.5,1.08,1.02,1.44,73,0.2,6
4.69,63,57.6,1.7,31,1.08,28,2.738,444.5,1.09,1.02,1.52,73,0.2,6
2.28,64,89.4,1.9,31,1.07,28,2.716,444.5,1.09,1.02,1.52,73,0.2,6
5.12,65,93.5,1.7,31,1.08,28,2.71,444.5,1.09,1.02,1.52,73,0.2,6
4.01,66,66,2.1,31,1.08,28,2.708,444.5,1.09,1.02,1.52,73,0.2,6
3.34,67,89.8,2.1,31,1.08,28,2.728,444.5,1.09,1.02,1.52,73.25925926,0.2,6.037037037
9.2,68,74.1,1.9,31,1.08,27,2.726,444.5,1.09,1.02,1.52,73.51851852,0.2,6.074074074
4.27,69,96,2,31,1.07,27,2.725,444.5,1.09,1.02,1.51,73.77777778,0.2,6.111111111
3.42,70,61.5,2.1,31,1.06,27,2.716,444.5,1.06,1.02,1.3,74.03703704,0.2,6.148148148
5.37,71,48.7,2.1,31,1.04,27,2.718,444.5,1.06,1.02,1.3,74.2962963,0.2,6.185185185
5.06,72,87.3,2.1,31,1.05,27,2.72,444.5,1.06,1.02,1.3,74.55555556,0.2,6.222222222
5.63,73,55.2,1.9,31,1.05,27,2.717,444.5,1.06,1.02,1.3,74.81481481,0.2,6.259259259
3.44,74,33.3,0,31,1.05,27,2.713,444.5,1.06,1.02,1.3,75.07407407,0.2,6.296296296
10,75,13.2,2,30,1.04,27,2.675,444.5,1.06,1.02,1.3,75.33333333,0.2,6.333333333
16.3,76,59.4,2.1,30,1.04,27,2.672,444.5,1.06,1.02,1.3,75.59259259,0.2,6.37037037
7.26,77,69.4,1.8,30,1.04,27,2.666,444.5,1.06,1.02,1.3,75.85185185,0.2,6.407407407
5.53,78,80,1.9,30,1.04,27,2.672,444.5,1.05,1.02,1.24,76.11111111,0.2,6.444444444
4.06,79,16.7,1.8,31,1.04,27,2.676,444.5,1.07,1.02,1.37,76.37037037,0.2,6.481481481
3.74,80,20.4,0,31,1.03,28,2.675,444.5,1.06,1.02,1.3,76.62962963,0.2,6.518518519
5.57,81,50.1,1.7,31,1.03,28,2.674,444.5,1.06,1.02,1.3,76.88888889,0.2,6.555555556
2.39,82,15.1,2,31,1.04,28,2.678,444.5,1.07,1.02,1.36,77.14814815,0.2,6.592592593
2.93,83,41.1,1.9,30,1.04,28,2.674,444.5,1.06,1.02,1.3,77.40740741,0.2,6.62962963
2.88,84,79.6,1.9,30,1.05,28,2.673,444.5,1.06,1.02,1.3,77.66666667,0.2,6.666666667
5.18,85,37.8,1.7,30,1.05,28,2.659,444.5,1.06,1.02,1.3,77.92592593,0.2,6.703703704
5.62,86,59.9,1.8,31,1.05,28,2.656,444.5,1.06,1.02,1.3,78.18518519,0.2,6.740740741
3.66,87,42.7,2.2,30,1.04,28,2.681,444.5,1.07,1.02,1.36,78.44444444,0.2,6.777777778
2.13,88,12,2.1,31,1.04,29,2.668,444.5,1.06,1.02,1.3,78.7037037,0.2,6.814814815
1.84,89,21.7,2,31,1.04,29,2.674,444.5,1.06,1.02,1.3,78.96296296,0.2,6.851851852
2.04,90,41.7,1.7,31,1.04,29,2.724,444.5,1.07,1.02,1.36,79.22222222,0.2,6.888888889
1.49,91,55.1,1.8,31,1.04,29,2.719,444.5,1.06,1.02,1.3,79.48148148,0.2,6.925925926
1.71,92,46.3,1.8,31,1.04,29,2.7,444.5,1.06,1.02,1.29,79.74074074,0.2,6.962962963
1.79,93,14.1,1.6,31,1.04,29,2.691,444.5,1.06,1.02,1.29,80,0.2,7
1.13,94,17.8,1.5,31,1.05,20,2.73,444.5,1.07,1.02,1.36,80,0.2,6.976190476
1.26,95,89.7,1.7,31,1.05,21,2.743,444.5,1.07,1.02,1.36,80,0.2,6.952380952
1.89,96,14.5,1.7,31,1.05,21,2.727,444.5,1.07,1.02,1.36,80,0.2,6.928571429
1.47,97,70.3,1.6,31,1.04,22,2.728,444.5,1.06,1.02,1.29,80,0.2,6.904761905
3.77,98,97.5,1.6,31,1.04,22,2.705,444.5,1.06,1.02,1.29,80,0.2,6.880952381
9.48,99,40,1.9,31,1.04,22,2.712,444.5,1.07,1.02,1.36,80,0.2,6.857142857
8.16,100,50.8,1.7,31,1.04,22,2.716,444.5,1.07,1.02,1.36,80,0.2,6.833333333
5.89,101,67.4,1.8,31,1.04,22,2.717,444.5,1.07,1.02,1.36,80,0.2,6.80952381
3.21,102,23.8,1.8,31,1.07,22,2.727,444.5,1.07,1.02,1.36,80,0.2,6.785714286
1.92,103,35.4,1.9,31,1.07,22,2.711,444.5,1.07,1.02,1.36,80,0.2,6.761904762
2.46,104,49.6,1.7,31,1.07,23,2.725,444.5,1.07,1.02,1.35,80,0.2,6.738095238
4.79,105,37.3,1.9,31,1.07,23,2.722,444.5,1.07,1.02,1.35,80,0.2,6.714285714
4.26,106,60.2,1.8,31,1.07,23,2.725,444.5,1.07,1.02,1.35,80,0.2,6.69047619
6.05,107,87.3,1.7,31,1.07,23,2.723,444.5,1.07,1.02,1.35,80,0.2,6.666666667
13.25,108,44.7,1.7,31,1.07,23,2.722,444.5,1.07,1.02,1.35,80,0.2,6.642857143
2.51,109,38.6,1.8,31,1.07,23,2.716,444.5,1.07,1.02,1.35,80,0.2,6.619047619
1.93,110,21.7,1.7,31,1.07,23,2.728,444.5,1.07,1.02,1.35,80,0.2,6.595238095
7.14,111,34.8,1.5,31,1.07,23,2.723,444.5,1.07,1.02,1.35,80,0.2,6.571428571
1.19,112,23.7,1.8,31,1.07,23,2.718,444.5,1.07,1.02,1.35,80,0.2,6.547619048
2.59,113,66.5,1.3,31,1.07,23,2.712,444.5,1.07,1.02,1.35,80,0.2,6.523809524
4.74,114,44.8,1.8,31,1.07,23,2.705,444.5,1.07,1.02,1.35,80,0.2,6.5
3.36,115,32.3,1.8,31,1.07,23,2.711,444.5,1.07,1.02,1.34,80,0.2,6.476190476
2.4,116,50.9,1.9,31,1.07,23,2.721,444.5,1.07,1.02,1.34,80,0.2,6.452380952
2.86,117,61.3,1.8,31,1.07,23,2.755,444.5,1.07,1.02,1.34,80,0.2,6.428571429
1.72,118,22.5,1.9,31,1.07,23,2.762,444.5,1.07,1.02,1.34,80,0.2,6.404761905
1.3,119,43.3,0.8,31,1.07,23,2.759,444.5,1.07,1.02,1.34,80,0.2,6.380952381
1.15,120,74.3,1.8,31,1.07,23,2.749,444.5,1.06,1.02,1.28,80,0.2,6.357142857
1.37,121,38.9,1.9,31,1.07,23,2.759,444.5,1.07,1.02,1.34,80,0.2,6.333333333
1.8,122,48.1,1.9,31,1.07,23,2.749,444.5,1.07,1.02,1.34,80,0.2,6.30952381
1.65,123,40.3,1.9,31,1.07,23,2.754,444.5,1.07,1.02,1.34,80,0.2,6.285714286
1.71,124,27.5,1.9,31,1.07,23,2.762,444.5,1.07,1.02,1.34,80,0.2,6.261904762
1.8,125,59.5,1.9,31,1.07,23,2.759,444.5,1.07,1.02,1.34,80,0.2,6.238095238
1.23,126,46,1.9,31,1.07,23,2.755,444.5,1.07,1.02,1.34,80,0.2,6.214285714
1.52,127,92.9,2,31,1.07,23,2.755,444.5,1.07,1.02,1.33,80,0.2,6.19047619
3.06,128,62.5,2,31,1.07,23,2.755,444.5,1.08,1.02,1.4,80,0.2,6.166666667
1.09,129,68.1,1.9,31,1.07,23,2.755,444.5,1.07,1.02,1.33,80,0.2,6.142857143
3.58,130,53.3,2,31,1.07,23,2.759,444.5,1.07,1.02,1.33,80,0.2,6.119047619
3.97,131,36.7,2,31,1.07,23,2.759,444.5,1.07,1.02,1.33,80,0.2,6.095238095
